iter	Logloss
0	0.6914225022
1	0.690156052
2	0.6887721385
3	0.6871300039
4	0.685923037
5	0.6846085373
6	0.6835825678
7	0.6822886154
8	0.6811727892
9	0.6802896817
10	0.6794261989
11	0.6783850074
12	0.6775950555
13	0.676771744
14	0.6758599965
15	0.6750792138
16	0.6738243863
17	0.6731668424
18	0.6723204417
19	0.6716813131
20	0.6707887968
21	0.670269459
22	0.6695361323
23	0.6691535878
24	0.6685838583
25	0.6680420047
26	0.6675634265
27	0.667165307
28	0.6668107079
29	0.666035329
30	0.6655768012
31	0.6651960079
32	0.6648591001
33	0.6645702376
34	0.6642495238
35	0.6638640306
36	0.6636042252
37	0.6631478901
38	0.6625877422
39	0.6623133183
40	0.661930537
41	0.6616634202
42	0.661353521
43	0.6608544998
44	0.6605491852
45	0.660333093
46	0.6600293752
47	0.6596292728
48	0.6594307069
49	0.659105616
50	0.6589887272
51	0.6586056054
52	0.6583913929
53	0.6582329629
54	0.6580363671
55	0.657738314
56	0.6575485409
57	0.6573109513
58	0.6571229026
59	0.6570005254
60	0.6567488571
61	0.6563208336
62	0.6560007684
63	0.6558596233
64	0.6556171588
65	0.6553655969
66	0.6550858668
67	0.6547854335
68	0.6546058955
69	0.6544058348
70	0.6542615585
71	0.6541812135
72	0.6540491936
73	0.6536704614
74	0.6534567554
75	0.653323391
76	0.6532866507
77	0.6530901428
78	0.6529091935
79	0.6525432634
80	0.6523175477
81	0.6521814506
82	0.6520884477
83	0.6519633191
84	0.6517692486
85	0.651533832
86	0.6514342896
87	0.6513028292
88	0.6511390931
89	0.6510111101
90	0.6508823973
91	0.6506104016
92	0.6504592038
93	0.6503393329
94	0.6502075181
95	0.6501390614
96	0.6500133576
97	0.649889116
98	0.64976143
99	0.6496936545
100	0.6496246829
101	0.6495862952
102	0.6494706567
103	0.64940422
104	0.6493356883
105	0.6492137483
106	0.6491078329
107	0.6489465674
108	0.6488242439
109	0.6486970278
110	0.6486098236
111	0.6485145727
112	0.6484005531
113	0.6482166035
114	0.648120105
115	0.6480875377
116	0.6480388767
117	0.6479099017
118	0.6478027406
119	0.6477271328
120	0.6476510919
121	0.647546005
122	0.6474176605
123	0.6472792629
124	0.6471911401
125	0.6470895476
126	0.6469826274
127	0.6469243467
128	0.6468763805
129	0.6468043709
130	0.6467188967
131	0.6466451332
132	0.6465629038
133	0.646511577
134	0.6463721975
135	0.646290775
136	0.6462512301
137	0.6462003326
138	0.6460981412
139	0.6460193396
140	0.6459604826
141	0.6458214668
142	0.6457198999
143	0.6456621597
144	0.6455509656
145	0.6454982248
146	0.645466566
147	0.6452524371
148	0.6452255683
149	0.6451348478
150	0.6450152407
151	0.6449153596
152	0.6448409879
153	0.6448262422
154	0.6447786154
155	0.6447272038
156	0.6446740557
157	0.6446068175
158	0.6445191017
159	0.6444538344
160	0.6444133938
161	0.6443327867
162	0.644290049
163	0.6441929475
164	0.6441044969
165	0.6440471544
166	0.6439346522
167	0.6438887292
168	0.6438206077
169	0.6437387105
170	0.643725562
171	0.643624212
172	0.6435583344
173	0.6434951762
174	0.6434442705
175	0.6433647491
176	0.6432760431
177	0.6431984357
178	0.6431339711
179	0.6430693131
180	0.6429434485
181	0.6427984186
182	0.6427503269
183	0.6426560731
184	0.6425991921
185	0.6425327717
186	0.6424465318
187	0.642380874
188	0.6423221474
189	0.6422580742
190	0.6421746308
191	0.6420682208
192	0.6420066759
193	0.641899149
194	0.6418412047
195	0.6417641747
196	0.6416905963
197	0.6416181618
198	0.6415515447
199	0.6415067644
200	0.6414564026
201	0.6414063174
202	0.6413463307
203	0.6412304153
204	0.6411360725
205	0.6410599936
206	0.6409778308
207	0.6409098252
208	0.6408219941
209	0.6407970274
210	0.6407556464
211	0.6406682764
212	0.6406049878
213	0.6405669546
214	0.6405260473
215	0.6404283014
216	0.6403773027
217	0.6403427531
218	0.6403177826
219	0.6402119033
220	0.6401415814
221	0.6400913854
222	0.6400630396
223	0.6400405909
224	0.6400017776
225	0.639957137
226	0.6398055828
227	0.6397079758
228	0.6396644805
229	0.6396266921
230	0.6395693504
231	0.6395077482
232	0.6394598236
233	0.6393746393
234	0.6393337081
235	0.6392543705
236	0.6391710114
237	0.6391309073
238	0.6390792592
239	0.6390025337
240	0.6389539169
241	0.6388803797
242	0.638813805
243	0.6387741894
244	0.6387211135
245	0.6386960469
246	0.6386548892
247	0.6385736498
248	0.6385377645
249	0.6385060342
250	0.6384393827
251	0.6383847198
252	0.6382993018
253	0.6381576055
254	0.6380625525
255	0.6379784906
256	0.6378887996
257	0.6377906007
258	0.6376679843
259	0.6376526906
260	0.6376013178
261	0.6375312618
262	0.6374804358
263	0.6373854331
264	0.6373313947
265	0.6372271277
266	0.6371812333
267	0.6371324162
268	0.637114307
269	0.6370318327
270	0.6369816419
271	0.6368841237
272	0.6367869326
273	0.636720808
274	0.6366641398
275	0.6365304761
276	0.6364219107
277	0.6363164123
278	0.6362049617
279	0.6361146105
280	0.6360023831
281	0.6359148491
282	0.6358179153
283	0.6357349892
284	0.6356293158
285	0.6356066324
286	0.6354960656
287	0.6354194815
288	0.6353543474
289	0.6353009054
290	0.6351907025
291	0.6351379431
292	0.6350652267
293	0.6349278377
294	0.6348460155
295	0.6347839733
296	0.6347008354
297	0.6346203379
298	0.6344956283
299	0.6343986454
300	0.6343400857
301	0.6342213875
302	0.6341283797
303	0.6340073231
304	0.6338878566
305	0.633734947
306	0.6336609093
307	0.6335977568
308	0.6335188891
309	0.6334310541
310	0.6332962649
311	0.6332316523
312	0.6330954222
313	0.6330038811
314	0.6329373728
315	0.6328505941
316	0.6326781832
317	0.6325603187
318	0.6324752434
319	0.6323906846
320	0.6322736569
321	0.6321714211
322	0.632029421
323	0.6319081948
324	0.6318263779
325	0.6316983993
326	0.6316199104
327	0.631496028
328	0.6312787299
329	0.6311611967
330	0.6310796402
331	0.6309698869
332	0.6308833527
333	0.630670468
334	0.630604907
335	0.6305092395
336	0.6303561016
337	0.6302772776
338	0.6301977533
339	0.6300482561
340	0.6299550314
341	0.6298164428
342	0.6296747218
343	0.6295376905
344	0.6294491454
345	0.6293721407
346	0.6292340656
347	0.6291558334
348	0.6290270649
349	0.6289329303
350	0.6288401675
351	0.6287025632
352	0.6285974737
353	0.6284467155
354	0.6283377181
355	0.6282310832
356	0.6281556896
357	0.6280699663
358	0.6279776111
359	0.6278851451
360	0.6277871579
361	0.6277168774
362	0.6276042904
363	0.627491847
364	0.6273467774
365	0.6272824222
366	0.627141049
367	0.6270323383
368	0.626943574
369	0.6268656915
370	0.6267930504
371	0.6266900066
372	0.6265938956
373	0.626500274
374	0.6263907373
375	0.6262988561
376	0.6261590288
377	0.6260257064
378	0.625921901
379	0.6257842274
380	0.6256571656
381	0.6255535045
382	0.6254144649
383	0.6253293466
384	0.6252494935
385	0.625127292
386	0.6250431086
387	0.6249514787
388	0.6248712606
389	0.6248030024
390	0.6247302655
391	0.6246075551
392	0.6245075364
393	0.6244305291
394	0.6243313392
395	0.6242290909
396	0.6241203978
397	0.6239883729
398	0.6238972224
399	0.623777202
400	0.6236634395
401	0.6235265493
402	0.6234206921
403	0.6232796759
404	0.6231865761
405	0.6230754365
406	0.6229862531
407	0.6228646135
408	0.6228311844
409	0.6227234344
410	0.6226312284
411	0.6224845018
412	0.6224319716
413	0.6222951521
414	0.6222058101
415	0.6220926846
416	0.6220054926
417	0.6219320504
418	0.6218129903
419	0.6217294949
420	0.6216321808
421	0.621485387
422	0.621412209
423	0.6213362247
424	0.6212639688
425	0.6211824835
426	0.62111107
427	0.6209932689
428	0.6209329602
429	0.6208735182
430	0.6207396636
431	0.6206424649
432	0.6204238462
433	0.6203287961
434	0.6202460447
435	0.6201829828
436	0.6200668788
437	0.6199722653
438	0.6198867605
439	0.6198246926
440	0.6197754367
441	0.6196935848
442	0.61960384
443	0.6195324417
444	0.6194396996
445	0.6193252303
446	0.619249988
447	0.6191381245
448	0.6191066042
449	0.6190014853
450	0.61890281
451	0.6187968171
452	0.6187201271
453	0.6186076349
454	0.6185192062
455	0.6184207708
456	0.618334733
457	0.6182792932
458	0.6181853587
459	0.6181183303
460	0.6180532538
461	0.6180042216
462	0.6179255704
463	0.6178811344
464	0.6178026741
465	0.6176860279
466	0.6176163267
467	0.6175432726
468	0.61746219
469	0.6174028892
470	0.617319214
471	0.6172696644
472	0.6172160993
473	0.6171155192
474	0.6170551696
475	0.6169144162
476	0.6168288491
477	0.6167020491
478	0.6166550669
479	0.616540616
480	0.6164387098
481	0.6164004311
482	0.6162877959
483	0.6161736525
484	0.6161045758
485	0.6160155876
486	0.6159085388
487	0.6158381635
488	0.6157521029
489	0.615665116
490	0.615597309
491	0.6155065418
492	0.6154588304
493	0.6153271587
494	0.6151974991
495	0.6151334872
496	0.6150469388
497	0.6149598193
498	0.6148609437
499	0.6148015199
500	0.6147282905
501	0.6146352482
502	0.6145622984
503	0.61449328
504	0.6144428466
505	0.6143505551
506	0.6142651276
507	0.6141980372
508	0.6140944656
509	0.6139962455
510	0.6138801832
511	0.6137879671
512	0.6137008869
513	0.6136119852
514	0.6135305398
515	0.6134657238
516	0.6133382068
517	0.6132618426
518	0.613186729
519	0.6131092179
520	0.613000296
521	0.6128879429
522	0.6128405041
523	0.6127901456
524	0.6126172808
525	0.6125237379
526	0.61247172
527	0.6123843554
528	0.6123574357
529	0.6122022526
530	0.6121631713
531	0.6120904546
532	0.6119978068
533	0.611928365
534	0.6118785029
535	0.6117558636
536	0.6116410546
537	0.6115344405
538	0.6114552387
539	0.6114103682
540	0.6113257265
541	0.6112595468
542	0.6111975389
543	0.6110948176
544	0.6110242789
545	0.6109466591
546	0.6108985247
547	0.6108504808
548	0.6108195142
549	0.6107367804
550	0.6106736223
551	0.610599456
552	0.6105147587
553	0.6104461665
554	0.6103334529
555	0.6102557797
556	0.6101872653
557	0.6101041947
558	0.610010889
559	0.609951997
560	0.6098710358
561	0.6097497973
562	0.60964506
563	0.6095599267
564	0.6094974329
565	0.6093814381
566	0.6093042238
567	0.6092452051
568	0.6091635931
569	0.6090731293
570	0.6090094214
571	0.6089213572
572	0.6088685741
573	0.6087902946
574	0.6087313564
575	0.6086567389
576	0.6085714889
577	0.6085055982
578	0.6084005156
579	0.6083153178
580	0.6082701455
581	0.6081476181
582	0.6080838494
583	0.6079987367
584	0.6079325932
585	0.6078722453
586	0.6078284435
587	0.6077136419
588	0.6076510531
589	0.6075973993
590	0.6075258794
591	0.6074541001
592	0.607364641
593	0.6072777869
594	0.6071799062
595	0.6070966382
596	0.6070059749
597	0.6069332465
598	0.6068800258
599	0.6067510336
600	0.6066860865
601	0.6066166229
602	0.6065508588
603	0.6064962151
604	0.6064415634
605	0.6063652042
606	0.6063227165
607	0.606248622
608	0.6062095829
609	0.6061361962
610	0.6060265416
611	0.6059557025
612	0.6059002944
613	0.60580269
614	0.6057548345
615	0.6056629846
616	0.605612668
617	0.6055160514
618	0.6054838628
619	0.605415559
620	0.6053366784
621	0.6052737759
622	0.6051633345
623	0.6051110877
624	0.605060944
625	0.6049980753
626	0.6049358729
627	0.6048268883
628	0.6047793576
629	0.6047190704
630	0.6046477008
631	0.6045899349
632	0.6045428225
633	0.6044824363
634	0.6044183449
635	0.6043346743
636	0.6042613044
637	0.604177259
638	0.6040555841
639	0.6039793348
640	0.6039442411
641	0.6038895787
642	0.6037942505
643	0.6037265831
644	0.6036749664
645	0.6036298988
646	0.6035594255
647	0.6034964971
648	0.6034415428
649	0.6033557448
650	0.6033060926
651	0.6031532117
652	0.6031061572
653	0.6030255005
654	0.6029767837
655	0.6028799373
656	0.6028345633
657	0.6027805033
658	0.6027189971
659	0.602634544
660	0.6025597458
661	0.6024818542
662	0.6023423498
663	0.6022675178
664	0.602189685
665	0.6021167825
666	0.602069791
667	0.6019887026
668	0.6019274287
669	0.6018612909
670	0.6017851233
671	0.6017415389
672	0.6016541248
673	0.6015717669
674	0.6014847286
675	0.6014022911
676	0.6013132122
677	0.6012563847
678	0.6011719013
679	0.6011061961
680	0.6010078548
681	0.6009432397
682	0.6008768919
683	0.6008196016
684	0.6007389074
685	0.600663332
686	0.6005913005
687	0.6005259945
688	0.6004621887
689	0.6004019936
690	0.6003496216
691	0.6003151815
692	0.6002449255
693	0.6002066079
694	0.6001525171
695	0.6000930248
696	0.6000078632
697	0.5999787844
698	0.5999103409
699	0.5998317258
700	0.5997923892
701	0.5997759024
702	0.5997199882
703	0.5996659538
704	0.599596646
705	0.5995541392
706	0.5994727379
707	0.5993910172
708	0.5993678301
709	0.5992958689
710	0.5991779373
711	0.5990772666
712	0.5990316994
713	0.5989956188
714	0.598930493
715	0.598857301
716	0.5987870535
717	0.5986859178
718	0.5986402514
719	0.5986093336
720	0.5985677459
721	0.5985406832
722	0.5984248529
723	0.5983522459
724	0.598291258
725	0.5982353969
726	0.5982078149
727	0.5981644753
728	0.5981108592
729	0.5980460652
730	0.5979469023
731	0.5978953033
732	0.597843506
733	0.597788758
734	0.5977102241
735	0.5976664896
736	0.5976266388
737	0.597567735
738	0.5975185053
739	0.5974449116
740	0.5973906389
741	0.5973444287
742	0.5972667448
743	0.5972145409
744	0.5971651022
745	0.5971032333
746	0.5970473271
747	0.5970263415
748	0.5969599588
749	0.5968956984
750	0.5968117797
751	0.5967317657
752	0.5967106435
753	0.5966431274
754	0.5965825194
755	0.5965423395
756	0.5964628942
757	0.5964156534
758	0.5963773587
759	0.5962037509
760	0.596134672
761	0.5960638791
762	0.5959868824
763	0.595937196
764	0.5959000371
765	0.5958275598
766	0.595764193
767	0.5956819207
