iter	Passed	Remaining
0	59	59030
1	60	30364
2	62	20830
3	64	16044
4	66	13156
5	67	11256
6	69	9881
7	71	8841
8	72	8035
9	74	7397
10	76	6866
11	78	6430
12	79	6051
13	81	5730
14	83	5455
15	84	5218
16	86	5003
17	88	4809
18	89	4640
19	91	4484
20	93	4344
21	94	4218
22	96	4100
23	98	3990
24	99	3890
25	101	3798
26	102	3711
27	104	3631
28	106	3557
29	107	3488
30	109	3421
31	111	3366
32	112	3308
33	114	3255
34	116	3205
35	117	3159
36	119	3114
37	121	3072
38	122	3028
39	124	2989
40	126	2950
41	127	2915
42	129	2881
43	131	2848
44	132	2815
45	134	2786
46	135	2755
47	137	2728
48	139	2702
49	140	2678
50	142	2652
51	144	2629
52	145	2605
53	147	2583
54	149	2561
55	150	2539
56	152	2518
57	153	2498
58	155	2478
59	157	2459
60	158	2442
61	160	2427
62	162	2410
63	163	2394
64	165	2379
65	167	2375
66	169	2359
67	171	2346
68	172	2333
69	174	2319
70	176	2304
71	177	2292
72	180	2289
73	182	2279
74	183	2267
75	185	2257
76	186	2240
77	188	2229
78	190	2219
79	192	2209
80	193	2199
81	195	2188
82	197	2177
83	198	2166
84	200	2156
85	201	2145
86	203	2135
87	205	2126
88	206	2117
89	208	2107
90	210	2098
91	211	2089
92	213	2081
93	215	2072
94	216	2063
95	218	2055
96	219	2046
97	221	2038
98	223	2031
99	224	2023
100	226	2016
101	228	2008
102	229	2001
103	231	1991
104	232	1984
105	234	1977
106	236	1970
107	237	1963
108	239	1957
109	241	1951
110	242	1944
111	244	1937
112	245	1930
113	247	1924
114	249	1918
115	250	1911
116	252	1904
117	254	1898
118	255	1892
119	257	1886
120	258	1880
121	260	1874
122	262	1868
123	263	1862
124	265	1857
125	266	1850
126	268	1845
127	270	1839
128	271	1833
129	273	1827
130	274	1822
131	276	1817
132	278	1812
133	279	1807
134	281	1802
135	283	1803
136	285	1798
137	287	1794
138	289	1790
139	290	1786
140	292	1782
141	294	1777
142	295	1773
143	297	1768
144	299	1765
145	301	1761
146	302	1758
147	305	1755
148	306	1751
149	308	1747
150	310	1743
151	311	1739
152	313	1734
153	314	1728
154	316	1723
155	317	1719
156	319	1715
157	321	1711
158	322	1707
159	324	1702
160	326	1699
161	327	1695
162	329	1691
163	331	1687
164	332	1683
165	334	1679
166	335	1675
167	337	1671
168	339	1667
169	340	1663
170	341	1657
171	343	1653
172	345	1650
173	346	1647
174	348	1643
175	350	1640
176	351	1636
177	353	1632
178	355	1629
179	356	1625
180	358	1622
181	360	1619
182	362	1616
183	363	1612
184	365	1609
185	367	1606
186	368	1603
187	370	1599
188	372	1596
189	373	1593
190	375	1590
191	377	1587
192	378	1584
193	380	1580
194	382	1578
195	384	1575
196	385	1571
197	387	1568
198	389	1565
199	390	1563
200	392	1560
201	394	1557
202	395	1554
203	397	1551
204	399	1548
205	400	1544
206	402	1541
207	404	1540
208	406	1536
209	407	1534
210	409	1531
211	411	1528
212	413	1526
213	414	1523
214	416	1520
215	418	1517
216	419	1514
217	421	1511
218	423	1508
219	424	1506
220	426	1504
221	428	1501
222	430	1498
223	431	1495
224	433	1492
225	434	1489
226	436	1486
227	438	1484
228	439	1481
229	441	1478
230	443	1475
231	444	1472
232	446	1469
233	448	1467
234	449	1464
235	451	1461
236	453	1458
237	454	1455
238	456	1453
239	458	1450
240	459	1447
241	461	1445
242	463	1442
243	464	1439
244	466	1436
245	468	1434
246	469	1432
247	471	1429
248	473	1426
249	474	1423
250	476	1421
251	477	1418
252	479	1416
253	481	1413
254	483	1411
255	484	1408
256	486	1406
257	488	1403
258	489	1401
259	491	1399
260	493	1396
261	494	1394
262	496	1391
263	498	1390
264	500	1387
265	501	1385
266	504	1383
267	505	1381
268	506	1377
269	508	1375
270	510	1372
271	512	1370
272	513	1367
273	515	1365
274	517	1363
275	518	1361
276	520	1358
277	522	1356
278	524	1354
279	525	1352
280	527	1349
281	529	1347
282	530	1345
283	532	1342
284	534	1340
285	536	1338
286	537	1336
287	539	1333
288	541	1331
289	542	1329
290	544	1326
291	546	1324
292	548	1322
293	549	1320
294	551	1318
295	553	1315
296	554	1313
297	556	1310
298	558	1308
299	559	1306
300	561	1304
301	563	1302
302	564	1299
303	566	1297
304	568	1294
305	569	1292
306	571	1290
307	573	1287
308	574	1285
309	576	1282
310	578	1280
311	579	1278
312	581	1276
313	583	1273
314	584	1271
315	586	1269
316	588	1266
317	589	1264
318	591	1262
319	593	1260
320	594	1257
321	596	1255
322	597	1253
323	599	1250
324	601	1248
325	602	1246
326	604	1243
327	606	1241
328	607	1239
329	609	1237
330	611	1235
331	612	1232
332	614	1230
333	616	1228
334	617	1226
335	619	1224
336	621	1222
337	622	1220
338	624	1218
339	626	1216
340	628	1214
341	630	1212
342	631	1210
343	633	1208
344	635	1206
345	636	1203
346	638	1201
347	640	1199
348	642	1197
349	643	1195
350	645	1193
351	647	1191
352	648	1189
353	650	1187
354	652	1185
355	654	1183
356	655	1181
357	657	1178
358	659	1176
359	660	1174
360	662	1172
361	663	1170
362	665	1168
363	667	1166
364	669	1164
365	670	1162
366	672	1159
367	674	1157
368	675	1155
369	677	1153
370	679	1151
371	681	1149
372	682	1147
373	684	1145
374	686	1143
375	687	1141
376	689	1139
377	691	1137
378	692	1135
379	694	1133
380	696	1131
381	697	1129
382	699	1127
383	701	1125
384	703	1122
385	704	1120
386	706	1118
387	707	1116
388	709	1114
389	711	1112
390	712	1110
391	714	1108
392	716	1105
393	717	1103
394	719	1101
395	721	1099
396	722	1097
397	724	1095
398	726	1093
399	727	1091
400	729	1090
401	731	1088
402	733	1086
403	735	1084
404	736	1082
405	738	1080
406	740	1079
407	742	1077
