model_a,model_b,auc_a,auc_b,mean_diff,t,p_value,significant_0.05
catboost,logistic_regression,0.7314,0.7274,0.004,0.68,0.5047,False
catboost,gradient_boosting,0.7314,0.7268,0.0046,0.921,0.3685,False
catboost,lightgbm,0.7314,0.7146,0.0168,4.445,0.0003,True
catboost,random_forest,0.7314,0.7097,0.0217,2.924,0.0087,True
catboost,extra_trees,0.7314,0.707,0.0244,3.754,0.0013,True
catboost,xgboost,0.7314,0.6982,0.0332,5.021,0.0001,True
catboost,naive_bayes,0.7314,0.6819,0.0495,5.328,0.0,True
catboost,knn,0.7314,0.6639,0.0675,8.045,0.0,True
catboost,decision_tree,0.7314,0.5684,0.163,16.274,0.0,True
logistic_regression,gradient_boosting,0.7274,0.7268,0.0006,0.109,0.9141,False
logistic_regression,lightgbm,0.7274,0.7146,0.0128,1.832,0.0826,False
logistic_regression,random_forest,0.7274,0.7097,0.0177,2.068,0.0526,False
logistic_regression,extra_trees,0.7274,0.707,0.0204,3.094,0.006,True
logistic_regression,xgboost,0.7274,0.6982,0.0292,3.337,0.0035,True
logistic_regression,naive_bayes,0.7274,0.6819,0.0455,6.607,0.0,True
logistic_regression,knn,0.7274,0.6639,0.0635,8.242,0.0,True
logistic_regression,decision_tree,0.7274,0.5684,0.159,14.101,0.0,True
gradient_boosting,lightgbm,0.7268,0.7146,0.0122,2.49,0.0222,True
gradient_boosting,random_forest,0.7268,0.7097,0.0171,2.937,0.0085,True
gradient_boosting,extra_trees,0.7268,0.707,0.0198,3.66,0.0017,True
gradient_boosting,xgboost,0.7268,0.6982,0.0286,4.187,0.0005,True
gradient_boosting,naive_bayes,0.7268,0.6819,0.0449,6.08,0.0,True
gradient_boosting,knn,0.7268,0.6639,0.0629,7.946,0.0,True
gradient_boosting,decision_tree,0.7268,0.5684,0.1584,17.256,0.0,True
lightgbm,random_forest,0.7146,0.7097,0.0049,0.787,0.4411,False
lightgbm,extra_trees,0.7146,0.707,0.0076,1.374,0.1855,False
lightgbm,xgboost,0.7146,0.6982,0.0164,2.693,0.0144,True
lightgbm,naive_bayes,0.7146,0.6819,0.0327,3.588,0.002,True
lightgbm,knn,0.7146,0.6639,0.0507,5.846,0.0,True
lightgbm,decision_tree,0.7146,0.5684,0.1462,17.122,0.0,True
random_forest,extra_trees,0.7097,0.707,0.0026,0.538,0.5968,False
random_forest,xgboost,0.7097,0.6982,0.0115,1.433,0.1682,False
random_forest,naive_bayes,0.7097,0.6819,0.0278,2.836,0.0106,True
random_forest,knn,0.7097,0.6639,0.0458,5.539,0.0,True
random_forest,decision_tree,0.7097,0.5684,0.1413,18.351,0.0,True
extra_trees,xgboost,0.707,0.6982,0.0088,1.065,0.3,False
extra_trees,naive_bayes,0.707,0.6819,0.0251,2.909,0.009,True
extra_trees,knn,0.707,0.6639,0.0432,5.343,0.0,True
extra_trees,decision_tree,0.707,0.5684,0.1386,17.648,0.0,True
xgboost,naive_bayes,0.6982,0.6819,0.0163,1.44,0.1662,False
xgboost,knn,0.6982,0.6639,0.0343,3.783,0.0013,True
xgboost,decision_tree,0.6982,0.5684,0.1298,14.276,0.0,True
naive_bayes,knn,0.6819,0.6639,0.018,1.544,0.1391,False
naive_bayes,decision_tree,0.6819,0.5684,0.1135,9.607,0.0,True
knn,decision_tree,0.6639,0.5684,0.0955,8.546,0.0,True
