model_a,model_b,auc_a,auc_b,mean_diff,t,p_value,significant_0.05
catboost,gradient_boosting,0.7831,0.7773,0.0058,1.559,0.1355,False
catboost,lightgbm,0.7831,0.7746,0.0085,1.781,0.091,False
catboost,random_forest,0.7831,0.7692,0.014,3.25,0.0042,True
catboost,extra_trees,0.7831,0.7578,0.0253,3.749,0.0014,True
catboost,xgboost,0.7831,0.7557,0.0274,4.725,0.0001,True
catboost,logistic_regression,0.7831,0.7543,0.0288,4.193,0.0005,True
catboost,svm,0.7831,0.7488,0.0343,6.019,0.0,True
catboost,mlp,0.7831,0.7434,0.0397,5.976,0.0,True
catboost,naive_bayes,0.7831,0.7011,0.082,9.818,0.0,True
catboost,knn,0.7831,0.6997,0.0835,8.847,0.0,True
catboost,decision_tree,0.7831,0.6091,0.174,19.047,0.0,True
gradient_boosting,lightgbm,0.7773,0.7746,0.0027,0.674,0.5084,False
gradient_boosting,random_forest,0.7773,0.7692,0.0081,2.091,0.0502,False
gradient_boosting,extra_trees,0.7773,0.7578,0.0194,3.073,0.0063,True
gradient_boosting,xgboost,0.7773,0.7557,0.0216,3.565,0.0021,True
gradient_boosting,logistic_regression,0.7773,0.7543,0.023,3.827,0.0011,True
gradient_boosting,svm,0.7773,0.7488,0.0284,4.661,0.0002,True
gradient_boosting,mlp,0.7773,0.7434,0.0339,5.336,0.0,True
gradient_boosting,naive_bayes,0.7773,0.7011,0.0762,9.041,0.0,True
gradient_boosting,knn,0.7773,0.6997,0.0776,8.929,0.0,True
gradient_boosting,decision_tree,0.7773,0.6091,0.1682,17.043,0.0,True
lightgbm,random_forest,0.7746,0.7692,0.0055,1.109,0.2814,False
lightgbm,extra_trees,0.7746,0.7578,0.0168,2.312,0.0321,True
lightgbm,xgboost,0.7746,0.7557,0.0189,2.979,0.0077,True
lightgbm,logistic_regression,0.7746,0.7543,0.0203,2.418,0.0258,True
lightgbm,svm,0.7746,0.7488,0.0258,3.334,0.0035,True
lightgbm,mlp,0.7746,0.7434,0.0312,4.058,0.0007,True
lightgbm,naive_bayes,0.7746,0.7011,0.0735,7.177,0.0,True
lightgbm,knn,0.7746,0.6997,0.0749,7.238,0.0,True
lightgbm,decision_tree,0.7746,0.6091,0.1655,14.981,0.0,True
random_forest,extra_trees,0.7692,0.7578,0.0113,2.531,0.0204,True
random_forest,xgboost,0.7692,0.7557,0.0135,2.571,0.0187,True
random_forest,logistic_regression,0.7692,0.7543,0.0148,2.074,0.0519,False
random_forest,svm,0.7692,0.7488,0.0203,3.083,0.0061,True
random_forest,mlp,0.7692,0.7434,0.0257,3.337,0.0035,True
random_forest,naive_bayes,0.7692,0.7011,0.0681,7.966,0.0,True
random_forest,knn,0.7692,0.6997,0.0695,6.929,0.0,True
random_forest,decision_tree,0.7692,0.6091,0.1601,16.161,0.0,True
extra_trees,xgboost,0.7578,0.7557,0.0022,0.272,0.7884,False
extra_trees,logistic_regression,0.7578,0.7543,0.0035,0.384,0.7052,False
extra_trees,svm,0.7578,0.7488,0.009,1.064,0.3006,False
extra_trees,mlp,0.7578,0.7434,0.0144,1.654,0.1146,False
extra_trees,naive_bayes,0.7578,0.7011,0.0568,5.519,0.0,True
extra_trees,knn,0.7578,0.6997,0.0582,6.251,0.0,True
extra_trees,decision_tree,0.7578,0.6091,0.1488,12.196,0.0,True
xgboost,logistic_regression,0.7557,0.7543,0.0014,0.148,0.8843,False
xgboost,svm,0.7557,0.7488,0.0068,0.752,0.4615,False
xgboost,mlp,0.7557,0.7434,0.0123,1.282,0.2154,False
xgboost,naive_bayes,0.7557,0.7011,0.0546,5.696,0.0,True
xgboost,knn,0.7557,0.6997,0.056,4.831,0.0001,True
xgboost,decision_tree,0.7557,0.6091,0.1466,19.64,0.0,True
logistic_regression,svm,0.7543,0.7488,0.0055,1.314,0.2044,False
logistic_regression,mlp,0.7543,0.7434,0.0109,1.841,0.0813,False
logistic_regression,naive_bayes,0.7543,0.7011,0.0532,6.216,0.0,True
logistic_regression,knn,0.7543,0.6997,0.0547,5.694,0.0,True
logistic_regression,decision_tree,0.7543,0.6091,0.1452,13.777,0.0,True
svm,mlp,0.7488,0.7434,0.0054,0.819,0.4227,False
svm,naive_bayes,0.7488,0.7011,0.0478,4.709,0.0002,True
svm,knn,0.7488,0.6997,0.0492,5.522,0.0,True
svm,decision_tree,0.7488,0.6091,0.1398,12.371,0.0,True
mlp,naive_bayes,0.7434,0.7011,0.0423,4.481,0.0003,True
mlp,knn,0.7434,0.6997,0.0437,4.771,0.0001,True
mlp,decision_tree,0.7434,0.6091,0.1343,11.268,0.0,True
naive_bayes,knn,0.7011,0.6997,0.0014,0.107,0.9157,False
naive_bayes,decision_tree,0.7011,0.6091,0.092,7.751,0.0,True
knn,decision_tree,0.6997,0.6091,0.0906,6.583,0.0,True
