student_idx,success,p_original,p_counterfactual,n_features_changed,cost_sd,recourse
0,False,0.7624,0.7599,1,0.25,ANXMAT -0.25 SD
1,False,0.8624,0.8407,1,0.5,BELONG +0.50 SD
2,False,0.8473,0.6487,3,3.25,ANXMAT -2.25 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD
3,False,0.9663,0.8865,3,2.25,ANXMAT -0.25 SD; BELONG +1.75 SD; ICTHOME +0.25 SD
7,False,0.7247,0.5484,2,1.25,ANXMAT -0.50 SD; TEACHSUP +0.75 SD
10,False,0.5707,0.5707,0,0.0,(already below threshold)
12,False,0.6994,0.6527,2,0.75,ANXMAT -0.25 SD; TEACHSUP +0.50 SD
13,True,0.488,0.4241,1,0.25,ICTHOME +0.25 SD
15,False,0.7613,0.5922,2,1.007,ANXMAT -1.00 SD; ICTHOME +0.01 SD
16,False,0.6912,0.6912,0,0.0,(already below threshold)
19,False,0.9374,0.9374,0,0.0,(already below threshold)
20,False,0.5232,0.4571,3,0.75,ANXMAT -0.25 SD; TEACHSUP +0.25 SD; BELONG +0.25 SD
21,False,0.872,0.7693,3,1.75,ANXMAT -0.25 SD; TEACHSUP +0.50 SD; BELONG +1.00 SD
22,False,0.8006,0.6014,3,1.25,ANXMAT -0.50 SD; TEACHSUP +0.50 SD; BELONG +0.25 SD
23,False,0.7687,0.5906,4,2.757,ANXMAT -1.00 SD; TEACHSUP +0.25 SD; BELONG +1.50 SD; ICTHOME +0.01 SD
25,True,0.5476,0.3539,1,0.5,ANXMAT -0.50 SD
26,False,0.7719,0.7231,1,0.75,TEACHSUP +0.75 SD
28,False,0.7341,0.4837,3,2.75,ANXMAT -1.75 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD
30,False,0.9579,0.7585,3,3.007,ANXMAT -2.00 SD; BELONG +1.00 SD; ICTHOME +0.01 SD
33,False,0.8874,0.5716,3,1.75,ANXMAT -0.25 SD; BELONG +1.00 SD; ICTHOME +0.50 SD
34,False,0.5751,0.5664,1,0.007,ICTHOME +0.01 SD
35,True,0.9379,0.365,2,3.25,ANXMAT -1.50 SD; BELONG +1.75 SD
36,False,0.9728,0.9569,2,1.0,ANXMAT -0.75 SD; BELONG +0.25 SD
37,False,0.9001,0.7796,3,2.25,ANXMAT -1.25 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD
40,False,0.9544,0.8653,4,1.007,ANXMAT -0.50 SD; TEACHSUP +0.25 SD; BELONG +0.25 SD; ICTHOME +0.01 SD
41,False,0.9724,0.911,4,1.922,ANXMAT -0.75 SD; TEACHSUP +0.75 SD; BELONG +0.25 SD; ICTSCH +0.17 SD
43,False,0.7788,0.7196,2,1.0,ANXMAT -0.75 SD; BELONG +0.25 SD
44,True,0.533,0.4327,2,0.75,ANXMAT -0.50 SD; BELONG +0.25 SD
45,True,0.5268,0.4043,1,0.25,ANXMAT -0.25 SD
46,False,0.5807,0.5381,1,0.25,ANXMAT -0.25 SD
