coverage,wc_lower,wc_upper,wc_width,mono_lower,mono_upper
0.7,0.5176,0.8176,0.3,0.7394,0.8176
0.72,0.5324,0.8124,0.28,0.7394,0.8124
0.74,0.5472,0.8072,0.26,0.7394,0.8072
0.76,0.562,0.802,0.24,0.7394,0.802
0.78,0.5768,0.7968,0.22,0.7394,0.7968
0.8,0.5915,0.7915,0.2,0.7394,0.7915
0.82,0.6063,0.7863,0.18,0.7394,0.7863
0.84,0.6211,0.7811,0.16,0.7394,0.7811
0.86,0.6359,0.7759,0.14,0.7394,0.7759
0.88,0.6507,0.7707,0.12,0.7394,0.7707
0.9,0.6655,0.7655,0.1,0.7394,0.7655
0.92,0.6803,0.7603,0.08,0.7394,0.7603
0.94,0.6951,0.7551,0.06,0.7394,0.7551
