CYCLE,region,urbanicity,at_risk,se,ci95_low,ci95_high,n,small,brr_available
2015,Center,Rural,0.6379589252287722,0.02212317426965658,0.5945975036602453,0.681320346797299,766,False,True
2015,Center,Urban,0.4778052974316993,0.012711185026184069,0.45289137478037855,0.5027192200830201,2153,False,True
2015,North,Rural,0.6581017346519143,0.03168467370135044,0.5959997741972675,0.7202036951065612,490,False,True
2015,North,Urban,0.5257130608920242,0.01842090078721427,0.4896080953490842,0.5618180264349641,774,False,True
2015,South,Rural,0.6530861621315133,0.02553004420544237,0.6030472754888462,0.7031250487741804,335,False,True
2015,South,Urban,0.4430800515353571,0.03127380171261733,0.38178340017862716,0.5043767028920871,697,False,True
2018,Center,Rural,0.44851616934500615,0.019032106814413825,0.41121323998875503,0.4858190987012573,672,False,True
2018,Center,Urban,0.3471319695811661,0.011065589669278593,0.3254434138293801,0.3688205253329521,2346,False,True
2018,North,Rural,0.5542470290229098,0.027311213485821186,0.5007170505907003,0.6077770074551193,513,False,True
2018,North,Urban,0.4881800946906136,0.021032427172203324,0.44695653743309505,0.5294036519481321,970,False,True
2018,South,Rural,0.4758587884231426,0.01596015708203075,0.44457688054236233,0.5071406963039229,600,False,True
2018,South,Urban,0.40483429595037873,0.012255556001398412,0.3808134061876378,0.42885518571311965,1258,False,True
2022,Center,Rural,0.8175167635928468,0.01589279558258706,0.7863668842509761,0.8486666429347174,773,False,True
2022,Center,Urban,0.6862632956807884,0.006128136249421073,0.6742521486319231,0.6982744427296537,2366,False,True
2022,North,Rural,0.8328797923580206,0.02459587624297341,0.7846718749217927,0.8810877097942484,335,False,True
2022,North,Urban,0.7922406426123549,0.0076855110527223975,0.7771770409490191,0.8073042442756908,873,False,True
2022,South,Rural,0.7886844709855264,0.01910118171597454,0.7512461548222163,0.8261227871488365,496,False,True
2022,South,Urban,0.7114358422344578,0.010203321919851332,0.6914373312715492,0.7314343531973664,1286,False,True
