term,OR_unweighted_vb,OR_weighted_pql,coef,sd
Intercept,4.714,4.2268,1.4414,0.0351
ESCS,0.8613,0.8689,-0.1405,0.0936
HOMEPOS,0.7986,0.8073,-0.2141,0.0587
GENDER,1.1294,1.1241,0.117,0.0338
REPEAT,1.2154,1.1984,0.181,0.0499
IMMIG,1.0429,1.0352,0.0346,0.0378
BELONG,0.9217,0.9247,-0.0783,0.0332
TEACHSUP,0.9085,0.9085,-0.096,0.0343
ICTHOME,1.0159,1.0197,0.0195,0.0397
ICTSCH,1.0573,1.0542,0.0527,0.0399
ANXMAT,1.4624,1.4379,0.3632,0.0341
GRADE,0.97,0.9785,-0.0217,0.0363
HISCED,1.2517,1.2444,0.2186,0.05
HISEI,0.8323,0.8328,-0.1829,0.0547
