,gain
PROC_TOTAL_TIME_S,163
PROC_MEDIAN_TIME_S,156
QTIM_SD_S,154
PROC_RAPID_FRAC,136
PROC_MEAN_TIME_S,134
SCH_MEAN_HOMEPOS,128
SCH_MEAN_ESCS,123
PROC_CV_TIME,121
SCH_MEAN_TEACHSUP,115
PROC_SD_TIME_S,105
SCH_MEAN_ANXMAT,105
PROC_N_ITEMS,95
SCH_N,85
QTIM_MEDIAN_S,81
SES_x_ANXIETY,81
BELONG,79
HISEI,72
ANXMAT,71
HOMEPOS,70
GRADE_x_SES,69
BELONG_x_TEACHSUP,68
QTIM_MEAN_S,64
QTIM_TOTAL_S,63
QTIM_RAPID_FRAC,62
PROC_TOTAL_VISITS,60
DIGITAL_READINESS,54
MATERIAL_DEFICIT,54
HISCED,46
PROC_REVISIT_RATE,46
SES_COMPLETE,46
PROC_MEAN_VISITS,45
ESCS,39
DIGITAL_GAP,33
TEACHSUP,30
ICTHOME,24
GENDER_x_ANXMAT,23
ICTSCH,18
GENDER,16
_MISS_ICTHOME,13
REPEAT,11
_MISS_IMMIG,8
_MISS_BELONG,8
_MISS_ICTSCH,8
_MISS_HISEI,7
_MISS_GRADE,6
_MISS_HISCED,2
_MISS_QTIM_SD_S,1
_MISS_ANXMAT,1
_MISS_REPEAT,1
_MISS_SCH_MEAN_ANXMAT,0
_MISS_ESCS,0
_MISS_TEACHSUP,0
IMMIG,0
_MISS_HOMEPOS,0
GRADE,0
