feature,mean_abs_shap,rank
ANXMAT,0.26339496281429103,1
HISCED,0.24793437493483797,2
HOMEPOS,0.2396659387422419,3
HISEI,0.18757754225824375,4
MATERIAL_DEFICIT,0.17535648767548742,5
BELONG,0.1671468478564165,6
ESCS,0.1172532546235573,7
GRADE_x_SES,0.10871761419225164,8
TEACHSUP,0.10693207425610297,9
DIGITAL_READINESS,0.09840216738400788,10
_MISS_HISEI,0.09551759458093904,11
_MISS_BELONG,0.0921097107187876,12
SES_x_ANXIETY,0.09011487751452434,13
_MISS_ICTHOME,0.08727317677040182,14
BELONG_x_TEACHSUP,0.085440850808324,15
_MISS_ICTSCH,0.08491352758370421,16
REPEAT,0.0757956866600338,17
GENDER,0.07236513773956445,18
_MISS_IMMIG,0.05939800052194018,19
SES_COMPLETE,0.04853878501690329,20
_MISS_GRADE,0.04774501212700564,21
DIGITAL_GAP,0.045954336398389244,22
GENDER_x_ANXMAT,0.03996841023625254,23
_MISS_REPEAT,0.03249770351582767,24
ICTSCH,0.029298282465483206,25
ICTHOME,0.02368370454584918,26
_MISS_HISCED,0.0141419223885221,27
_MISS_TEACHSUP,0.012751885183207799,28
IMMIG,0.004300626432916473,29
_MISS_ANXMAT,0.0035361090767732782,30
_MISS_ESCS,0.002690801723540873,31
GRADE,0.0021871290010769314,32
_MISS_HOMEPOS,0.0,33
